Scope
Manufacturer	Model
Xfer Records	vst3.56534558667350736572756D20320000.Serum 2

Remotable	Min	Max	Input type	Output type
CC14 Chan 1	0	4194304	Value	ValueOutput
CC15 Chan 1	0	4194304	Value	ValueOutput
CC16 Chan 1	0	4194304	Value	ValueOutput
CC17 Chan 1	0	4194304	Value	ValueOutput
CC18 Chan 1	0	4194304	Value	ValueOutput
CC19 Chan 1	0	4194304	Value	ValueOutput
CC20 Chan 1	0	4194304	Value	ValueOutput
CC21 Chan 1	0	4194304	Value	ValueOutput
CC22 Chan 1	0	4194304	Value	ValueOutput
CC23 Chan 1	0	4194304	Value	ValueOutput
CC24 Chan 1	0	4194304	Value	ValueOutput
CC25 Chan 1	0	4194304	Value	ValueOutput
CC26 Chan 1	0	4194304	Value	ValueOutput
CC27 Chan 1	0	4194304	Value	ValueOutput
CC28 Chan 1	0	4194304	Value	ValueOutput
CC29 Chan 1	0	4194304	Value	ValueOutput
CC30 Chan 1	0	4194304	Value	ValueOutput
CC31 Chan 1	0	4194304	Value	ValueOutput
CC32 Chan 1	0	4194304	Value	ValueOutput
CC33 Chan 1	0	4194304	Value	ValueOutput
CC34 Chan 1	0	4194304	Value	ValueOutput
CC35 Chan 1	0	4194304	Value	ValueOutput
CC36 Chan 1	0	4194304	Value	ValueOutput
CC37 Chan 1	0	4194304	Value	ValueOutput
CC38 Chan 1	0	4194304	Value	ValueOutput
CC39 Chan 1	0	4194304	Value	ValueOutput
CC40 Chan 1	0	4194304	Value	ValueOutput
CC41 Chan 1	0	4194304	Value	ValueOutput
CC42 Chan 1	0	4194304	Value	ValueOutput
CC43 Chan 1	0	4194304	Value	ValueOutput
CC44 Chan 1	0	4194304	Value	ValueOutput
CC45 Chan 1	0	4194304	Value	ValueOutput
CC46 Chan 1	0	4194304	Value	ValueOutput
CC47 Chan 1	0	4194304	Value	ValueOutput
CC48 Chan 1	0	4194304	Value	ValueOutput
CC49 Chan 1	0	4194304	Value	ValueOutput
CC50 Chan 1	0	4194304	Value	ValueOutput
CC51 Chan 1	0	4194304	Value	ValueOutput
CC52 Chan 1	0	4194304	Value	ValueOutput
CC53 Chan 1	0	4194304	Value	ValueOutput
CC54 Chan 1	0	4194304	Value	ValueOutput
CC55 Chan 1	0	4194304	Value	ValueOutput
CC56 Chan 1	0	4194304	Value	ValueOutput
CC57 Chan 1	0	4194304	Value	ValueOutput
CC58 Chan 1	0	4194304	Value	ValueOutput
CC59 Chan 1	0	4194304	Value	ValueOutput
CC60 Chan 1	0	4194304	Value	ValueOutput
CC61 Chan 1	0	4194304	Value	ValueOutput
CC62 Chan 1	0	4194304	Value	ValueOutput
CC63 Chan 1	0	4194304	Value	ValueOutput
CC64 Chan 1	0	4194304	Value	ValueOutput
CC65 Chan 1	0	4194304	Value	ValueOutput
CC66 Chan 1	0	4194304	Value	ValueOutput
CC67 Chan 1	0	4194304	Value	ValueOutput
CC68 Chan 1	0	4194304	Value	ValueOutput
CC69 Chan 1	0	4194304	Value	ValueOutput
CC70 Chan 1	0	4194304	Value	ValueOutput
CC71 Chan 1	0	4194304	Value	ValueOutput
CC72 Chan 1	0	4194304	Value	ValueOutput
CC73 Chan 1	0	4194304	Value	ValueOutput
CC74 Chan 1	0	4194304	Value	ValueOutput
CC75 Chan 1	0	4194304	Value	ValueOutput
CC76 Chan 1	0	4194304	Value	ValueOutput
CC77 Chan 1	0	4194304	Value	ValueOutput
CC78 Chan 1	0	4194304	Value	ValueOutput
CC79 Chan 1	0	4194304	Value	ValueOutput
CC80 Chan 1	0	4194304	Value	ValueOutput
CC81 Chan 1	0	4194304	Value	ValueOutput
CC82 Chan 1	0	4194304	Value	ValueOutput
CC83 Chan 1	0	4194304	Value	ValueOutput
CC84 Chan 1	0	4194304	Value	ValueOutput
CC85 Chan 1	0	4194304	Value	ValueOutput
CC86 Chan 1	0	4194304	Value	ValueOutput
CC87 Chan 1	0	4194304	Value	ValueOutput
CC88 Chan 1	0	4194304	Value	ValueOutput
CC89 Chan 1	0	4194304	Value	ValueOutput
CC90 Chan 1	0	4194304	Value	ValueOutput
CC91 Chan 1	0	4194304	Value	ValueOutput
CC92 Chan 1	0	4194304	Value	ValueOutput
CC93 Chan 1	0	4194304	Value	ValueOutput
CC94 Chan 1	0	4194304	Value	ValueOutput
CC95 Chan 1	0	4194304	Value	ValueOutput
CC96 Chan 1	0	4194304	Value	ValueOutput
CC97 Chan 1	0	4194304	Value	ValueOutput
CC98 Chan 1	0	4194304	Value	ValueOutput
CC99 Chan 1	0	4194304	Value	ValueOutput
CC100 Chan 1	0	4194304	Value	ValueOutput
CC101 Chan 1	0	4194304	Value	ValueOutput
CC102 Chan 1	0	4194304	Value	ValueOutput
CC103 Chan 1	0	4194304	Value	ValueOutput
CC104 Chan 1	0	4194304	Value	ValueOutput
CC105 Chan 1	0	4194304	Value	ValueOutput
CC106 Chan 1	0	4194304	Value	ValueOutput
CC107 Chan 1	0	4194304	Value	ValueOutput
CC108 Chan 1	0	4194304	Value	ValueOutput
CC109 Chan 1	0	4194304	Value	ValueOutput
CC110 Chan 1	0	4194304	Value	ValueOutput
CC111 Chan 1	0	4194304	Value	ValueOutput
CC112 Chan 1	0	4194304	Value	ValueOutput
CC113 Chan 1	0	4194304	Value	ValueOutput
CC114 Chan 1	0	4194304	Value	ValueOutput
CC115 Chan 1	0	4194304	Value	ValueOutput
CC116 Chan 1	0	4194304	Value	ValueOutput
CC117 Chan 1	0	4194304	Value	ValueOutput
CC118 Chan 1	0	4194304	Value	ValueOutput
CC119 Chan 1	0	4194304	Value	ValueOutput
CC120 Chan 1	0	4194304	Value	ValueOutput
CC121 Chan 1	0	4194304	Value	ValueOutput
CC122 Chan 1	0	4194304	Value	ValueOutput
CC123 Chan 1	0	4194304	Value	ValueOutput
CC124 Chan 1	0	4194304	Value	ValueOutput
CC125 Chan 1	0	4194304	Value	ValueOutput
CC126 Chan 1	0	4194304	Value	ValueOutput
CC127 Chan 1	0	4194304	Value	ValueOutput
Pitch Bend Chan 2	0	4194304	Value	ValueOutput
Aftertouch Chan 2	0	4194304	Value	ValueOutput
CC0 Chan 2	0	4194304	Value	ValueOutput
CC1 Chan 2	0	4194304	Value	ValueOutput
CC2 Chan 2	0	4194304	Value	ValueOutput
CC3 Chan 2	0	4194304	Value	ValueOutput
CC4 Chan 2	0	4194304	Value	ValueOutput
CC5 Chan 2	0	4194304	Value	ValueOutput
CC6 Chan 2	0	4194304	Value	ValueOutput
CC7 Chan 2	0	4194304	Value	ValueOutput
CC8 Chan 2	0	4194304	Value	ValueOutput
CC9 Chan 2	0	4194304	Value	ValueOutput
CC10 Chan 2	0	4194304	Value	ValueOutput
CC11 Chan 2	0	4194304	Value	ValueOutput
CC12 Chan 2	0	4194304	Value	ValueOutput
CC13 Chan 2	0	4194304	Value	ValueOutput
CC14 Chan 2	0	4194304	Value	ValueOutput
CC15 Chan 2	0	4194304	Value	ValueOutput
CC16 Chan 2	0	4194304	Value	ValueOutput
CC17 Chan 2	0	4194304	Value	ValueOutput
CC18 Chan 2	0	4194304	Value	ValueOutput
CC19 Chan 2	0	4194304	Value	ValueOutput
CC20 Chan 2	0	4194304	Value	ValueOutput
CC21 Chan 2	0	4194304	Value	ValueOutput
CC22 Chan 2	0	4194304	Value	ValueOutput
CC23 Chan 2	0	4194304	Value	ValueOutput
CC24 Chan 2	0	4194304	Value	ValueOutput
CC25 Chan 2	0	4194304	Value	ValueOutput
CC26 Chan 2	0	4194304	Value	ValueOutput
CC27 Chan 2	0	4194304	Value	ValueOutput
CC28 Chan 2	0	4194304	Value	ValueOutput
CC29 Chan 2	0	4194304	Value	ValueOutput
CC30 Chan 2	0	4194304	Value	ValueOutput
CC31 Chan 2	0	4194304	Value	ValueOutput
CC32 Chan 2	0	4194304	Value	ValueOutput
CC33 Chan 2	0	4194304	Value	ValueOutput
CC34 Chan 2	0	4194304	Value	ValueOutput
CC35 Chan 2	0	4194304	Value	ValueOutput
CC36 Chan 2	0	4194304	Value	ValueOutput
CC37 Chan 2	0	4194304	Value	ValueOutput
CC38 Chan 2	0	4194304	Value	ValueOutput
CC39 Chan 2	0	4194304	Value	ValueOutput
CC40 Chan 2	0	4194304	Value	ValueOutput
CC41 Chan 2	0	4194304	Value	ValueOutput
CC42 Chan 2	0	4194304	Value	ValueOutput
CC43 Chan 2	0	4194304	Value	ValueOutput
CC44 Chan 2	0	4194304	Value	ValueOutput
CC45 Chan 2	0	4194304	Value	ValueOutput
CC46 Chan 2	0	4194304	Value	ValueOutput
CC47 Chan 2	0	4194304	Value	ValueOutput
CC48 Chan 2	0	4194304	Value	ValueOutput
CC49 Chan 2	0	4194304	Value	ValueOutput
CC50 Chan 2	0	4194304	Value	ValueOutput
CC51 Chan 2	0	4194304	Value	ValueOutput
CC52 Chan 2	0	4194304	Value	ValueOutput
CC53 Chan 2	0	4194304	Value	ValueOutput
CC54 Chan 2	0	4194304	Value	ValueOutput
CC55 Chan 2	0	4194304	Value	ValueOutput
CC56 Chan 2	0	4194304	Value	ValueOutput
CC57 Chan 2	0	4194304	Value	ValueOutput
CC58 Chan 2	0	4194304	Value	ValueOutput
CC59 Chan 2	0	4194304	Value	ValueOutput
CC60 Chan 2	0	4194304	Value	ValueOutput
CC61 Chan 2	0	4194304	Value	ValueOutput
CC62 Chan 2	0	4194304	Value	ValueOutput
CC63 Chan 2	0	4194304	Value	ValueOutput
CC64 Chan 2	0	4194304	Value	ValueOutput
CC65 Chan 2	0	4194304	Value	ValueOutput
CC66 Chan 2	0	4194304	Value	ValueOutput
CC67 Chan 2	0	4194304	Value	ValueOutput
CC68 Chan 2	0	4194304	Value	ValueOutput
CC69 Chan 2	0	4194304	Value	ValueOutput
CC70 Chan 2	0	4194304	Value	ValueOutput
CC71 Chan 2	0	4194304	Value	ValueOutput
CC72 Chan 2	0	4194304	Value	ValueOutput
CC73 Chan 2	0	4194304	Value	ValueOutput
CC74 Chan 2	0	4194304	Value	ValueOutput
CC75 Chan 2	0	4194304	Value	ValueOutput
CC76 Chan 2	0	4194304	Value	ValueOutput
CC77 Chan 2	0	4194304	Value	ValueOutput
CC78 Chan 2	0	4194304	Value	ValueOutput
CC79 Chan 2	0	4194304	Value	ValueOutput
CC80 Chan 2	0	4194304	Value	ValueOutput
CC81 Chan 2	0	4194304	Value	ValueOutput
CC82 Chan 2	0	4194304	Value	ValueOutput
CC83 Chan 2	0	4194304	Value	ValueOutput
CC84 Chan 2	0	4194304	Value	ValueOutput
CC85 Chan 2	0	4194304	Value	ValueOutput
CC86 Chan 2	0	4194304	Value	ValueOutput
CC87 Chan 2	0	4194304	Value	ValueOutput
CC88 Chan 2	0	4194304	Value	ValueOutput
CC89 Chan 2	0	4194304	Value	ValueOutput
CC90 Chan 2	0	4194304	Value	ValueOutput
CC91 Chan 2	0	4194304	Value	ValueOutput
CC92 Chan 2	0	4194304	Value	ValueOutput
CC93 Chan 2	0	4194304	Value	ValueOutput
CC94 Chan 2	0	4194304	Value	ValueOutput
CC95 Chan 2	0	4194304	Value	ValueOutput
CC96 Chan 2	0	4194304	Value	ValueOutput
CC97 Chan 2	0	4194304	Value	ValueOutput
CC98 Chan 2	0	4194304	Value	ValueOutput
CC99 Chan 2	0	4194304	Value	ValueOutput
CC100 Chan 2	0	4194304	Value	ValueOutput
CC101 Chan 2	0	4194304	Value	ValueOutput
CC102 Chan 2	0	4194304	Value	ValueOutput
CC103 Chan 2	0	4194304	Value	ValueOutput
CC104 Chan 2	0	4194304	Value	ValueOutput
CC105 Chan 2	0	4194304	Value	ValueOutput
CC106 Chan 2	0	4194304	Value	ValueOutput
CC107 Chan 2	0	4194304	Value	ValueOutput
CC108 Chan 2	0	4194304	Value	ValueOutput
CC109 Chan 2	0	4194304	Value	ValueOutput
CC110 Chan 2	0	4194304	Value	ValueOutput
CC111 Chan 2	0	4194304	Value	ValueOutput
CC112 Chan 2	0	4194304	Value	ValueOutput
CC113 Chan 2	0	4194304	Value	ValueOutput
CC114 Chan 2	0	4194304	Value	ValueOutput
CC115 Chan 2	0	4194304	Value	ValueOutput
CC116 Chan 2	0	4194304	Value	ValueOutput
CC117 Chan 2	0	4194304	Value	ValueOutput
CC118 Chan 2	0	4194304	Value	ValueOutput
CC119 Chan 2	0	4194304	Value	ValueOutput
CC120 Chan 2	0	4194304	Value	ValueOutput
CC121 Chan 2	0	4194304	Value	ValueOutput
CC122 Chan 2	0	4194304	Value	ValueOutput
CC123 Chan 2	0	4194304	Value	ValueOutput
CC124 Chan 2	0	4194304	Value	ValueOutput
CC125 Chan 2	0	4194304	Value	ValueOutput
CC126 Chan 2	0	4194304	Value	ValueOutput
CC127 Chan 2	0	4194304	Value	ValueOutput
Pitch Bend Chan 3	0	4194304	Value	ValueOutput
Aftertouch Chan 3	0	4194304	Value	ValueOutput
CC0 Chan 3	0	4194304	Value	ValueOutput
CC1 Chan 3	0	4194304	Value	ValueOutput
CC2 Chan 3	0	4194304	Value	ValueOutput
CC3 Chan 3	0	4194304	Value	ValueOutput
CC4 Chan 3	0	4194304	Value	ValueOutput
CC5 Chan 3	0	4194304	Value	ValueOutput
CC6 Chan 3	0	4194304	Value	ValueOutput
CC7 Chan 3	0	4194304	Value	ValueOutput
CC8 Chan 3	0	4194304	Value	ValueOutput
CC9 Chan 3	0	4194304	Value	ValueOutput
CC10 Chan 3	0	4194304	Value	ValueOutput
CC11 Chan 3	0	4194304	Value	ValueOutput
CC12 Chan 3	0	4194304	Value	ValueOutput
CC13 Chan 3	0	4194304	Value	ValueOutput
CC14 Chan 3	0	4194304	Value	ValueOutput
CC15 Chan 3	0	4194304	Value	ValueOutput
CC16 Chan 3	0	4194304	Value	ValueOutput
CC17 Chan 3	0	4194304	Value	ValueOutput
CC18 Chan 3	0	4194304	Value	ValueOutput
CC19 Chan 3	0	4194304	Value	ValueOutput
CC20 Chan 3	0	4194304	Value	ValueOutput
CC21 Chan 3	0	4194304	Value	ValueOutput
CC22 Chan 3	0	4194304	Value	ValueOutput
CC23 Chan 3	0	4194304	Value	ValueOutput
CC24 Chan 3	0	4194304	Value	ValueOutput
CC25 Chan 3	0	4194304	Value	ValueOutput
CC26 Chan 3	0	4194304	Value	ValueOutput
CC27 Chan 3	0	4194304	Value	ValueOutput
CC28 Chan 3	0	4194304	Value	ValueOutput
CC29 Chan 3	0	4194304	Value	ValueOutput
CC30 Chan 3	0	4194304	Value	ValueOutput
CC31 Chan 3	0	4194304	Value	ValueOutput
CC32 Chan 3	0	4194304	Value	ValueOutput
CC33 Chan 3	0	4194304	Value	ValueOutput
CC34 Chan 3	0	4194304	Value	ValueOutput
CC35 Chan 3	0	4194304	Value	ValueOutput
CC36 Chan 3	0	4194304	Value	ValueOutput
CC37 Chan 3	0	4194304	Value	ValueOutput
CC38 Chan 3	0	4194304	Value	ValueOutput
CC39 Chan 3	0	4194304	Value	ValueOutput
CC40 Chan 3	0	4194304	Value	ValueOutput
CC41 Chan 3	0	4194304	Value	ValueOutput
CC42 Chan 3	0	4194304	Value	ValueOutput
CC43 Chan 3	0	4194304	Value	ValueOutput
CC44 Chan 3	0	4194304	Value	ValueOutput
CC45 Chan 3	0	4194304	Value	ValueOutput
CC46 Chan 3	0	4194304	Value	ValueOutput
CC47 Chan 3	0	4194304	Value	ValueOutput
CC48 Chan 3	0	4194304	Value	ValueOutput
CC49 Chan 3	0	4194304	Value	ValueOutput
CC50 Chan 3	0	4194304	Value	ValueOutput
CC51 Chan 3	0	4194304	Value	ValueOutput
CC52 Chan 3	0	4194304	Value	ValueOutput
CC53 Chan 3	0	4194304	Value	ValueOutput
CC54 Chan 3	0	4194304	Value	ValueOutput
CC55 Chan 3	0	4194304	Value	ValueOutput
CC56 Chan 3	0	4194304	Value	ValueOutput
CC57 Chan 3	0	4194304	Value	ValueOutput
CC58 Chan 3	0	4194304	Value	ValueOutput
CC59 Chan 3	0	4194304	Value	ValueOutput
CC60 Chan 3	0	4194304	Value	ValueOutput
CC61 Chan 3	0	4194304	Value	ValueOutput
CC62 Chan 3	0	4194304	Value	ValueOutput
CC63 Chan 3	0	4194304	Value	ValueOutput
CC64 Chan 3	0	4194304	Value	ValueOutput
CC65 Chan 3	0	4194304	Value	ValueOutput
CC66 Chan 3	0	4194304	Value	ValueOutput
CC67 Chan 3	0	4194304	Value	ValueOutput
CC68 Chan 3	0	4194304	Value	ValueOutput
CC69 Chan 3	0	4194304	Value	ValueOutput
CC70 Chan 3	0	4194304	Value	ValueOutput
CC71 Chan 3	0	4194304	Value	ValueOutput
CC72 Chan 3	0	4194304	Value	ValueOutput
CC73 Chan 3	0	4194304	Value	ValueOutput
CC74 Chan 3	0	4194304	Value	ValueOutput
CC75 Chan 3	0	4194304	Value	ValueOutput
CC76 Chan 3	0	4194304	Value	ValueOutput
CC77 Chan 3	0	4194304	Value	ValueOutput
CC78 Chan 3	0	4194304	Value	ValueOutput
CC79 Chan 3	0	4194304	Value	ValueOutput
CC80 Chan 3	0	4194304	Value	ValueOutput
CC81 Chan 3	0	4194304	Value	ValueOutput
CC82 Chan 3	0	4194304	Value	ValueOutput
CC83 Chan 3	0	4194304	Value	ValueOutput
CC84 Chan 3	0	4194304	Value	ValueOutput
CC85 Chan 3	0	4194304	Value	ValueOutput
CC86 Chan 3	0	4194304	Value	ValueOutput
CC87 Chan 3	0	4194304	Value	ValueOutput
CC88 Chan 3	0	4194304	Value	ValueOutput
CC89 Chan 3	0	4194304	Value	ValueOutput
CC90 Chan 3	0	4194304	Value	ValueOutput
CC91 Chan 3	0	4194304	Value	ValueOutput
CC92 Chan 3	0	4194304	Value	ValueOutput
CC93 Chan 3	0	4194304	Value	ValueOutput
CC94 Chan 3	0	4194304	Value	ValueOutput
CC95 Chan 3	0	4194304	Value	ValueOutput
CC96 Chan 3	0	4194304	Value	ValueOutput
CC97 Chan 3	0	4194304	Value	ValueOutput
CC98 Chan 3	0	4194304	Value	ValueOutput
CC99 Chan 3	0	4194304	Value	ValueOutput
CC100 Chan 3	0	4194304	Value	ValueOutput
CC101 Chan 3	0	4194304	Value	ValueOutput
CC102 Chan 3	0	4194304	Value	ValueOutput
CC103 Chan 3	0	4194304	Value	ValueOutput
CC104 Chan 3	0	4194304	Value	ValueOutput
CC105 Chan 3	0	4194304	Value	ValueOutput
CC106 Chan 3	0	4194304	Value	ValueOutput
CC107 Chan 3	0	4194304	Value	ValueOutput
CC108 Chan 3	0	4194304	Value	ValueOutput
CC109 Chan 3	0	4194304	Value	ValueOutput
CC110 Chan 3	0	4194304	Value	ValueOutput
CC111 Chan 3	0	4194304	Value	ValueOutput
CC112 Chan 3	0	4194304	Value	ValueOutput
CC113 Chan 3	0	4194304	Value	ValueOutput
CC114 Chan 3	0	4194304	Value	ValueOutput
CC115 Chan 3	0	4194304	Value	ValueOutput
CC116 Chan 3	0	4194304	Value	ValueOutput
CC117 Chan 3	0	4194304	Value	ValueOutput
CC118 Chan 3	0	4194304	Value	ValueOutput
CC119 Chan 3	0	4194304	Value	ValueOutput
CC120 Chan 3	0	4194304	Value	ValueOutput
CC121 Chan 3	0	4194304	Value	ValueOutput
CC122 Chan 3	0	4194304	Value	ValueOutput
CC123 Chan 3	0	4194304	Value	ValueOutput
CC124 Chan 3	0	4194304	Value	ValueOutput
CC125 Chan 3	0	4194304	Value	ValueOutput
CC126 Chan 3	0	4194304	Value	ValueOutput
CC127 Chan 3	0	4194304	Value	ValueOutput
Pitch Bend Chan 4	0	4194304	Value	ValueOutput
Aftertouch Chan 4	0	4194304	Value	ValueOutput
CC0 Chan 4	0	4194304	Value	ValueOutput
CC1 Chan 4	0	4194304	Value	ValueOutput
CC2 Chan 4	0	4194304	Value	ValueOutput
CC3 Chan 4	0	4194304	Value	ValueOutput
CC4 Chan 4	0	4194304	Value	ValueOutput
CC5 Chan 4	0	4194304	Value	ValueOutput
CC6 Chan 4	0	4194304	Value	ValueOutput
CC7 Chan 4	0	4194304	Value	ValueOutput
CC8 Chan 4	0	4194304	Value	ValueOutput
CC9 Chan 4	0	4194304	Value	ValueOutput
CC10 Chan 4	0	4194304	Value	ValueOutput
CC11 Chan 4	0	4194304	Value	ValueOutput
CC12 Chan 4	0	4194304	Value	ValueOutput
CC13 Chan 4	0	4194304	Value	ValueOutput
CC14 Chan 4	0	4194304	Value	ValueOutput
CC15 Chan 4	0	4194304	Value	ValueOutput
CC16 Chan 4	0	4194304	Value	ValueOutput
CC17 Chan 4	0	4194304	Value	ValueOutput
CC18 Chan 4	0	4194304	Value	ValueOutput
CC19 Chan 4	0	4194304	Value	ValueOutput
CC20 Chan 4	0	4194304	Value	ValueOutput
CC21 Chan 4	0	4194304	Value	ValueOutput
CC22 Chan 4	0	4194304	Value	ValueOutput
CC23 Chan 4	0	4194304	Value	ValueOutput
CC24 Chan 4	0	4194304	Value	ValueOutput
CC25 Chan 4	0	4194304	Value	ValueOutput
CC26 Chan 4	0	4194304	Value	ValueOutput
CC27 Chan 4	0	4194304	Value	ValueOutput
CC28 Chan 4	0	4194304	Value	ValueOutput
CC29 Chan 4	0	4194304	Value	ValueOutput
CC30 Chan 4	0	4194304	Value	ValueOutput
CC31 Chan 4	0	4194304	Value	ValueOutput
CC32 Chan 4	0	4194304	Value	ValueOutput
CC33 Chan 4	0	4194304	Value	ValueOutput
CC34 Chan 4	0	4194304	Value	ValueOutput
CC35 Chan 4	0	4194304	Value	ValueOutput
CC36 Chan 4	0	4194304	Value	ValueOutput
CC37 Chan 4	0	4194304	Value	ValueOutput
CC38 Chan 4	0	4194304	Value	ValueOutput
CC39 Chan 4	0	4194304	Value	ValueOutput
CC40 Chan 4	0	4194304	Value	ValueOutput
CC41 Chan 4	0	4194304	Value	ValueOutput
CC42 Chan 4	0	4194304	Value	ValueOutput
CC43 Chan 4	0	4194304	Value	ValueOutput
CC44 Chan 4	0	4194304	Value	ValueOutput
CC45 Chan 4	0	4194304	Value	ValueOutput
CC46 Chan 4	0	4194304	Value	ValueOutput
CC47 Chan 4	0	4194304	Value	ValueOutput
CC48 Chan 4	0	4194304	Value	ValueOutput
CC49 Chan 4	0	4194304	Value	ValueOutput
CC50 Chan 4	0	4194304	Value	ValueOutput
CC51 Chan 4	0	4194304	Value	ValueOutput
CC52 Chan 4	0	4194304	Value	ValueOutput
CC53 Chan 4	0	4194304	Value	ValueOutput
CC54 Chan 4	0	4194304	Value	ValueOutput
CC55 Chan 4	0	4194304	Value	ValueOutput
CC56 Chan 4	0	4194304	Value	ValueOutput
CC57 Chan 4	0	4194304	Value	ValueOutput
CC58 Chan 4	0	4194304	Value	ValueOutput
CC59 Chan 4	0	4194304	Value	ValueOutput
CC60 Chan 4	0	4194304	Value	ValueOutput
CC61 Chan 4	0	4194304	Value	ValueOutput
CC62 Chan 4	0	4194304	Value	ValueOutput
CC63 Chan 4	0	4194304	Value	ValueOutput
CC64 Chan 4	0	4194304	Value	ValueOutput
CC65 Chan 4	0	4194304	Value	ValueOutput
CC66 Chan 4	0	4194304	Value	ValueOutput
CC67 Chan 4	0	4194304	Value	ValueOutput
CC68 Chan 4	0	4194304	Value	ValueOutput
CC69 Chan 4	0	4194304	Value	ValueOutput
CC70 Chan 4	0	4194304	Value	ValueOutput
CC71 Chan 4	0	4194304	Value	ValueOutput
CC72 Chan 4	0	4194304	Value	ValueOutput
CC73 Chan 4	0	4194304	Value	ValueOutput
CC74 Chan 4	0	4194304	Value	ValueOutput
CC75 Chan 4	0	4194304	Value	ValueOutput
CC76 Chan 4	0	4194304	Value	ValueOutput
CC77 Chan 4	0	4194304	Value	ValueOutput
CC78 Chan 4	0	4194304	Value	ValueOutput
CC79 Chan 4	0	4194304	Value	ValueOutput
CC80 Chan 4	0	4194304	Value	ValueOutput
CC81 Chan 4	0	4194304	Value	ValueOutput
CC82 Chan 4	0	4194304	Value	ValueOutput
CC83 Chan 4	0	4194304	Value	ValueOutput
CC84 Chan 4	0	4194304	Value	ValueOutput
CC85 Chan 4	0	4194304	Value	ValueOutput
CC86 Chan 4	0	4194304	Value	ValueOutput
CC87 Chan 4	0	4194304	Value	ValueOutput
CC88 Chan 4	0	4194304	Value	ValueOutput
CC89 Chan 4	0	4194304	Value	ValueOutput
CC90 Chan 4	0	4194304	Value	ValueOutput
CC91 Chan 4	0	4194304	Value	ValueOutput
CC92 Chan 4	0	4194304	Value	ValueOutput
CC93 Chan 4	0	4194304	Value	ValueOutput
CC94 Chan 4	0	4194304	Value	ValueOutput
CC95 Chan 4	0	4194304	Value	ValueOutput
CC96 Chan 4	0	4194304	Value	ValueOutput
CC97 Chan 4	0	4194304	Value	ValueOutput
CC98 Chan 4	0	4194304	Value	ValueOutput
CC99 Chan 4	0	4194304	Value	ValueOutput
CC100 Chan 4	0	4194304	Value	ValueOutput
CC101 Chan 4	0	4194304	Value	ValueOutput
CC102 Chan 4	0	4194304	Value	ValueOutput
CC103 Chan 4	0	4194304	Value	ValueOutput
CC104 Chan 4	0	4194304	Value	ValueOutput
CC105 Chan 4	0	4194304	Value	ValueOutput
CC106 Chan 4	0	4194304	Value	ValueOutput
CC107 Chan 4	0	4194304	Value	ValueOutput
CC108 Chan 4	0	4194304	Value	ValueOutput
CC109 Chan 4	0	4194304	Value	ValueOutput
CC110 Chan 4	0	4194304	Value	ValueOutput
CC111 Chan 4	0	4194304	Value	ValueOutput
CC112 Chan 4	0	4194304	Value	ValueOutput
CC113 Chan 4	0	4194304	Value	ValueOutput
CC114 Chan 4	0	4194304	Value	ValueOutput
CC115 Chan 4	0	4194304	Value	ValueOutput
CC116 Chan 4	0	4194304	Value	ValueOutput
CC117 Chan 4	0	4194304	Value	ValueOutput
CC118 Chan 4	0	4194304	Value	ValueOutput
CC119 Chan 4	0	4194304	Value	ValueOutput
CC120 Chan 4	0	4194304	Value	ValueOutput
CC121 Chan 4	0	4194304	Value	ValueOutput
CC122 Chan 4	0	4194304	Value	ValueOutput
CC123 Chan 4	0	4194304	Value	ValueOutput
CC124 Chan 4	0	4194304	Value	ValueOutput
CC125 Chan 4	0	4194304	Value	ValueOutput
CC126 Chan 4	0	4194304	Value	ValueOutput
CC127 Chan 4	0	4194304	Value	ValueOutput
Pitch Bend Chan 5	0	4194304	Value	ValueOutput
Aftertouch Chan 5	0	4194304	Value	ValueOutput
CC0 Chan 5	0	4194304	Value	ValueOutput
CC1 Chan 5	0	4194304	Value	ValueOutput
CC2 Chan 5	0	4194304	Value	ValueOutput
CC3 Chan 5	0	4194304	Value	ValueOutput
CC4 Chan 5	0	4194304	Value	ValueOutput
CC5 Chan 5	0	4194304	Value	ValueOutput
CC6 Chan 5	0	4194304	Value	ValueOutput
CC7 Chan 5	0	4194304	Value	ValueOutput
CC8 Chan 5	0	4194304	Value	ValueOutput
CC9 Chan 5	0	4194304	Value	ValueOutput
CC10 Chan 5	0	4194304	Value	ValueOutput
CC11 Chan 5	0	4194304	Value	ValueOutput
CC12 Chan 5	0	4194304	Value	ValueOutput
CC13 Chan 5	0	4194304	Value	ValueOutput
CC14 Chan 5	0	4194304	Value	ValueOutput
CC15 Chan 5	0	4194304	Value	ValueOutput
CC16 Chan 5	0	4194304	Value	ValueOutput
CC17 Chan 5	0	4194304	Value	ValueOutput
CC18 Chan 5	0	4194304	Value	ValueOutput
CC19 Chan 5	0	4194304	Value	ValueOutput
CC20 Chan 5	0	4194304	Value	ValueOutput
CC21 Chan 5	0	4194304	Value	ValueOutput
CC22 Chan 5	0	4194304	Value	ValueOutput
CC23 Chan 5	0	4194304	Value	ValueOutput
CC24 Chan 5	0	4194304	Value	ValueOutput
CC25 Chan 5	0	4194304	Value	ValueOutput
CC26 Chan 5	0	4194304	Value	ValueOutput
CC27 Chan 5	0	4194304	Value	ValueOutput
CC28 Chan 5	0	4194304	Value	ValueOutput
